Question_EN,Question_TE,OptionA_EN,OptionA_TE,OptionB_EN,OptionB_TE,OptionC_EN,OptionC_TE,OptionD_EN,OptionD_TE,Answer
What is the capital of India?,భారతదేశ యొక్క రాజధానी ఏమిటి?,Delhi,విజయవాడ,Mumbai,ముంబై,Bangalore,బెంగళూరు,Chennai,చెన్నై,A
Which planet is nearest to the Sun?,సూర్యుడికి సమీపం ఉన్న గ్రహం ఏది?,Venus,శుక్రుడు,Mercury,బుధుడు,Earth,భూమి,Mars,అంగారక,B
What is 2 + 2?,2 + 2 = ?,3,3,4,4,5,5,6,6,B
Who wrote the Ramayana?,రామాయణం ఎవరు రాశారు?,Valmiki,వాల్మీకి,Vyas,వ్యాసుడు,Kalidas,కాలిదాస,Tulsidas,తుళసిదాస,A
What is the largest animal in the world?,ప్రపంచంలో అతిపెద్ద జంతువు ఏది?,African Elephant,ఆఫ్రికన్ ఏనుగు,Blue Whale,నీలం తిమింగలం,Giraffe,జిరాఫీ,Tiger,పులి,B
Which gas do plants absorb from the atmosphere?,మొక్కలు వాతావరణం నుండి ఏ వాయువును గ్రహించుకుంటాయి?,Oxygen,ఆక్సిజన్,Nitrogen,నైట్రోజన్,Carbon Dioxide,కార్బన్ డయాక్సైడ్,Hydrogen,హైడ్రోజన్,C
What is the smallest prime number?,చిన్నకపిల్పు మూల సంఖ్య ఏది?,0,0,1,1,2,2,3,3,C
What does UNESCO stand for?,UNESCO ఏ క్షుద్ర రూపం?,United Nations Educational and Scientific Organization,ఐక్య రాష్ట్ర విద్యా విజ్ఞాన సంస్థ,United Nations Environmental Science Organization,ఐక్య రాష్ట్ర పర్యావరణ విజ్ఞాన సంస్థ,United Network for Education and Social Opportunities,ఐక్య నెట్‌వర్క్ విద్యా సామాజిక అవకాశాల కోసం,None of the above,పై ఏదీ కాదు,A
What is the chemical symbol for Gold?,సోణం యొక్క రసాయన చిహ్నం ఏమిటి?,Au,Au,Gd,జిడి,Go,గో,Gl,జిఎల్,A
In which year did World War II end?,రెండవ ప్రపంచ యుద్ధం ఎప్పుడు ముగిసింది?,1944,1944,1945,1945,1946,1946,1947,1947,B
